Gender,Generation,Term Sub Reason,Employee Grade,Location,Career Bucket,Age Bucket,Manager ID,Talent,Department,active_months
Male,Millennials,Career Growth,Junior,Hyderabad,Below 30,26 To 30,101322,,AP,28.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101495,,AV,47.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101437,,AY,70.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,101540,,AY,79.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100105,,AL,74.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100191,,AC,21.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100186,,AC,47.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100170,,AC,53.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100780,,AI,71.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100794,,AI,71.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101056,,AU,38.0
Male,Gen X,Personal Reason,Mid,Chennai,Above 35,31 To 35,101253,,BP,10.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,102417,,BS,61.0
Male,Gen X,Salary Hike,Mid,Hyderabad,Above 35,31 To 35,101319,,AP,97.0
Male,Gen X,Career Growth,Mid,Vadodara,Above 35,41 T0 45,101604,,BU,95.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,102420,,AY,17.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,26 To 30,101701,,AY,31.0
Female,Millennials,Career Growth,Junior,Bengaluru,31 to 35,26 To 30,101540,,AY,41.0
Male,Millennials,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,102420,,AY,45.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,100190,,AC,25.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100186,,AC,37.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102361,,AX,73.0
Female,Millennials,Relocation to Native,Junior,Bengaluru,31 to 35,31 To 35,100107,,BJ,54.0
Male,Millennials,Salary Hike,Junior,Bengaluru,31 to 35,26 To 30,100107,,BJ,66.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100583,,BT,36.0
Male,Millennials,Salary Hike,Mid,Bengaluru,31 to 35,31 To 35,100650,,AI,2.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,21 To 25,100726,,AI,24.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,21 To 25,100620,,AI,24.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100780,,AI,24.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100032,,AI,24.0
Female,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100650,,AI,31.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100633,,AI,36.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,100693,,AI,48.0
Female,Millennials,Relocation to Native,Junior,Bengaluru,31 to 35,31 To 35,101059,,AO,40.0
Male,Millennials,Relocation to Native,Mid,Bengaluru,31 to 35,31 To 35,101162,,BH,71.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,101321,,AP,24.0
Female,Millennials,Higher Studies,Junior,Hyderabad,Below 30,26 To 30,101322,,AP,48.0
Male,Millennials,Higher Studies,Junior,Hyderabad,Below 30,26 To 30,101322,,AP,56.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,101390,,BZ,37.0
Male,Gen X,Relocation to Native,Mid,Bengaluru,Above 35,36 T0 40,101150,,CA,124.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,101494,,BF,48.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,102428,,AS,5.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,46 T0 50,101568,,AS,71.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,102366,,AT,48.0
Male,Millennials,Higher Studies,Mid,Bengaluru,Below 30,26 To 30,102366,,AT,72.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,21 To 25,101540,,AY,25.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101674,,AY,69.0
Male,Millennials,Relocation to Native,Mid,Bengaluru,31 to 35,31 To 35,100620,,AI,14.0
Male,Millennials,Salary Hike,Junior,Bengaluru,Below 30,26 To 30,100605,,AI,25.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100679,,AI,38.0
Male,Millennials,Internal Politics,Mid,Bengaluru,31 to 35,31 To 35,100650,,AI,69.0
Male,Millennials,Company Rules,Junior,Bengaluru,Below 30,26 To 30,100692,,AI,74.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101098,,CB,94.0
Male,Millennials,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,101059,,AO,38.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,101321,,AP,37.0
Male,Gen X,Personal Reason,Junior,Bengaluru,Above 35,36 T0 40,101424,,AR,50.0
Female,Millennials,Health Issues,Junior,Bengaluru,Below 30,26 To 30,101413,,AR,73.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101164,,CA,133.0
Male,Gen X,Work Life Balance,Mid,Bengaluru,Above 35,36 T0 40,101591,,AS,33.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101186,,AY,85.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100186,,AC,28.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100190,,AC,73.0
Male,Millennials,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100362,,AD,52.0
Female,Millennials,Career Growth,Mid,Gujarath,31 to 35,31 To 35,102402,,BN,64.0
Male,Millennials,Health Issues,Junior,Bengaluru,Below 30,26 To 30,100794,,AI,19.0
Female,Millennials,Health Issues,Junior,Bengaluru,Below 30,26 To 30,100605,,AI,34.0
Female,Millennials,Marriage,Junior,Bengaluru,Below 30,26 To 30,101458,,CC,25.0
Female,Millennials,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,101586,,AS,9.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,102428,,AS,24.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101465,,AY,29.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101465,,AY,108.0
Male,Gen X,Relocation to Native,Mid,Bengaluru,Above 35,36 T0 40,100185,,AC,101.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100754,,AI,28.0
Female,Millennials,Relocation to Native,Junior,Bengaluru,31 to 35,26 To 30,100726,,AI,69.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101056,,AU,22.0
Male,Millennials,Relocation to Native,Junior,Bengaluru,31 to 35,31 To 35,100076,,AO,28.0
Male,Baby Boomers,Career Growth,Mid,Bengaluru,Above 35,51 T0 55,101569,,AS,69.0
Male,Millennials,Salary Hike,Mid,Bengaluru,31 to 35,31 To 35,101540,,AY,38.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,21 To 25,101224,,AN,26.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100191,,AC,12.0
Male,Millennials,Salary Hike,Junior,Bengaluru,31 to 35,26 To 30,100188,,AC,20.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,102360,,AX,18.0
Male,Millennials,Career Growth,Mid,Bengaluru,Below 30,26 To 30,100620,,AI,67.0
Male,Millennials,Relocation to Native,Junior,Bengaluru,31 to 35,31 To 35,100607,,AI,78.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101150,,AO,42.0
Male,Gen X,Higher Studies,Junior,Bengaluru,Above 35,36 T0 40,100650,,AI,27.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100633,,AI,50.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100692,,AI,75.0
Female,Millennials,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,101059,,AO,5.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101160,,AO,62.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,101321,,AP,30.0
Male,Baby Boomers,Career Growth,Mid,Bengaluru,Above 35,51 T0 55,101319,,AP,80.0
Male,Gen X,Internal Politics,Mid,Vadodara,Above 35,46 T0 50,101604,,BU,66.0
Male,Millennials,Salary Hike,Junior,Bengaluru,Above 35,31 To 35,101515,,AY,68.0
Male,Millennials,Salary Hike,Junior,Bengaluru,Below 30,26 To 30,100191,,AC,15.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100170,,AC,71.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102292,,AC,74.0
Female,Millennials,Health Issues,Junior,Bengaluru,Below 30,26 To 30,100277,,AX,16.0
Male,Gen X,Relocation to Native,Mid,Bengaluru,Above 35,36 T0 40,100076,,AO,128.0
Male,Gen X,Salary Hike,Mid,Chennai,Above 35,36 T0 40,101253,,BP,18.0
Female,Millennials,Health Issues,Junior,Bengaluru,31 to 35,26 To 30,101494,,AV,66.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100188,,BF,16.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102436,,AS,17.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100988,,AS,20.0
Male,Gen X,Not Suitable Job for the Skills,Mid,Bengaluru,Above 35,36 T0 40,101645,,AY,22.0
Male,Millennials,Salary Hike,Junior,Bengaluru,Below 30,26 To 30,101645,,AY,66.0
Male,Millennials,Higher Studies,Junior,Bengaluru,31 to 35,31 To 35,101693,,AY,69.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101697,,AY,75.0
Male,Millennials,Miscellaneous,Mid,Bengaluru,Above 35,31 To 35,101688,,AY,78.0
Male,Millennials,Personal Reason,Junior,Bengaluru,Below 30,26 To 30,102340,,AL,20.0
Male,Millennials,Miscellaneous,Junior,Bengaluru,31 to 35,31 To 35,100692,,AI,61.0
Female,Millennials,Family Problems,Junior,Bengaluru,Below 30,26 To 30,100830,,AI,68.0
Male,Millennials,Salary Hike,Junior,Bengaluru,31 to 35,31 To 35,101098,,CB,46.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101164,,AO,126.0
Male,Millennials,Health Issues,Junior,Bengaluru,31 to 35,31 To 35,101059,,AO,10.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101059,,AO,116.0
Male,Millennials,Salary Hike,Junior,Bengaluru,Below 30,26 To 30,101495,,BF,22.0
Male,Millennials,Personal Reason,Junior,Bengaluru,Above 35,31 To 35,100188,,BF,72.0
Male,Gen X,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,101569,,AS,40.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101568,,AS,98.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101688,,AY,40.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,100417,,AD,64.0
Female,Millennials,Personal Reason,Junior,Bengaluru,Below 30,26 To 30,100754,,AI,17.0
Female,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100743,,AI,26.0
Male,Gen X,Family Problems,Mid,Bengaluru,Above 35,41 T0 45,102439,,BF,117.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101353,,AS,36.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101591,,AS,63.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101566,,AY,34.0
Male,Millennials,Career Growth,Junior,Gujarath,31 to 35,31 To 35,100017,,AB,72.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102307,,AH,57.0
Male,Millennials,Higher Studies,Junior,Bengaluru,31 to 35,31 To 35,100191,,AC,82.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,26 To 30,100411,,AD,33.0
Female,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,26 To 30,100515,,BM,105.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,21 To 25,100605,,AI,21.0
Male,Gen X,Career Growth,Junior,Bengaluru,Above 35,36 T0 40,100607,,AI,77.0
Female,Millennials,Family Problems,Junior,Bengaluru,31 to 35,26 To 30,100481,,AU,48.0
Female,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100076,,AO,79.0
Male,Millennials,Personal Reason,Junior,Bengaluru,Below 30,26 To 30,102338,,CJ,81.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,101435,,AR,57.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101435,,AR,85.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101586,,AS,50.0
Female,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,101569,,AS,58.0
Male,Gen X,Career Growth,Junior,Bengaluru,Above 35,46 T0 50,101590,,AS,106.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101186,,AY,31.0
Male,Millennials,Salary Hike,Junior,Bengaluru,31 to 35,26 To 30,101688,,AY,33.0
Male,Millennials,Work Life Balance,Junior,Bengaluru,Below 30,26 To 30,101566,,AY,50.0
Male,Millennials,Salary Hike,Junior,Bengaluru,31 to 35,31 To 35,100191,,AC,24.0
Male,Gen X,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,100417,,AD,65.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100745,,AI,35.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100605,,AI,32.0
Female,Millennials,Health Issues,Junior,Bengaluru,Below 30,21 To 25,100599,,AI,27.0
Male,Millennials,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,101186,,AY,10.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101725,,AY,124.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,21 To 25,100667,,AI,35.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,100692,,AI,59.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101040,,AU,72.0
Female,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101076,,BG,12.0
Male,Millennials,Family Problems,Junior,Bengaluru,31 to 35,31 To 35,100076,,AO,43.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101435,,AR,24.0
Male,Millennials,Career Growth,Mid,Bengaluru,Below 30,26 To 30,102439,,BF,59.0
Male,Gen X,Family Problems,Mid,Bengaluru,Above 35,36 T0 40,102458,,AS,27.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,101353,,AS,35.0
Female,Gen X,Miscellaneous,Junior,Bengaluru,Above 35,36 T0 40,101586,,AS,72.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,100384,,AD,65.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,100422,,AD,91.0
Male,Gen X,Career Growth,Junior,Chennai,Above 35,36 T0 40,102403,,BN,74.0
Female,Gen X,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,100743,,AI,11.0
Female,Millennials,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,100605,,AI,19.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100679,,AI,23.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100611,,AI,19.0
Female,Millennials,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100620,,AI,34.0
Female,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100743,,AI,55.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,100635,,AI,77.0
Female,Millennials,Relocation to Native,Junior,Bengaluru,31 to 35,31 To 35,101058,,AU,8.0
Female,Millennials,Personal Reason,Junior,Bengaluru,Below 30,21 To 25,100468,,AO,37.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100076,,AO,83.0
Female,Millennials,Family Problems,Junior,Bengaluru,Below 30,21 To 25,101412,,AR,26.0
Male,Millennials,Salary Hike,Junior,Bengaluru,31 to 35,31 To 35,101401,,AR,25.0
Male,Gen X,Family Problems,Mid,Bengaluru,Above 35,41 T0 45,101569,,AS,74.0
Male,Millennials,Career Growth,Mid,Bengaluru,Below 30,26 To 30,101688,,AY,72.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101645,,AY,77.0
Female,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,100170,,AC,36.0
Female,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,26 To 30,100417,,AD,40.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,26 To 30,100667,,AI,64.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,100633,,AI,73.0
Male,Gen X,Personal Reason,Mid,Bengaluru,Above 35,41 T0 45,102338,,AI,77.0
Male,Millennials,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,100076,,AO,50.0
Female,Millennials,Personal Reason,Junior,Bengaluru,Below 30,26 To 30,101162,,AO,49.0
Female,Millennials,Personal Reason,Mid,Chennai,31 to 35,31 To 35,101252,,BP,20.0
Male,Gen X,Personal Reason,Mid,Chennai,Above 35,41 T0 45,101254,,BP,75.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101494,,BF,49.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,26 To 30,101566,,AY,11.0
Male,Millennials,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,101465,,AY,124.0
Male,Millennials,Salary Hike,Mid,Bengaluru,Above 35,36 T0 40,100270,,AX,14.0
Male,Millennials,Salary Hike,Junior,Bengaluru,31 to 35,31 To 35,100538,,BV,56.0
Male,Millennials,Family Problems,Junior,Bengaluru,Below 30,21 To 25,100601,,AI,3.0
Male,Millennials,Family Problems,Junior,Bengaluru,31 to 35,31 To 35,100598,,AI,8.0
Male,Millennials,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,100620,,AI,20.0
Female,Millennials,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100635,,AI,39.0
Male,Millennials,Salary Hike,Junior,Bengaluru,Below 30,21 To 25,100745,,AI,39.0
Male,Millennials,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100439,,AI,85.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101481,,AV,13.0
Female,Millennials,Not Interested in JOB,Junior,Bengaluru,31 to 35,31 To 35,101540,,BF,46.0
Male,Millennials,Salary Hike,Junior,Bengaluru,Below 30,26 To 30,100191,,AC,40.0
Female,Millennials,Family Problems,Junior,Bengaluru,Below 30,26 To 30,100270,,AX,23.0
Female,Gen X,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,100270,,AX,25.0
Female,Gen X,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,102338,,AI,110.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,102446,,CH,78.0
Male,Gen X,Career Growth,Junior,Bengaluru,Above 35,41 T0 45,100076,,AO,137.0
Male,Millennials,Health Issues,Junior,Bengaluru,Below 30,26 To 30,101059,,AO,64.0
Male,Gen X,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,100076,,AO,86.0
Female,Gen X,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,101725,,AY,140.0
Male,Gen X,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,102330,,AJ,129.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,100635,,AI,31.0
Male,Gen X,Family Problems,Junior,Bengaluru,Above 35,41 T0 45,100830,,AI,65.0
Female,Gen X,Family Problems,Mid,Bengaluru,Above 35,41 T0 45,102338,,AI,100.0
Male,Millennials,Salary Hike,Junior,Bengaluru,31 to 35,31 To 35,101058,,AU,22.0
Male,Millennials,Personal Reason,Junior,Bengaluru,Below 30,26 To 30,101115,,CB,57.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101645,,AY,39.0
Male,Gen X,Career Growth,Junior,Bengaluru,Above 35,41 T0 45,101495,,BF,117.0
Male,Millennials,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,100416,,AD,3.0
Male,Millennials,Miscellaneous,Junior,Bengaluru,Below 30,26 To 30,100633,,AI,63.0
Female,Millennials,Relocation to Native,Mid,Bengaluru,31 to 35,31 To 35,100620,,AI,13.0
Female,Millennials,Health Issues,Junior,Bengaluru,31 to 35,31 To 35,100076,,AO,62.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101413,,AR,26.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101435,,AR,80.0
Male,Gen X,Relocation to Native,Mid,Bengaluru,Above 35,41 T0 45,102364,,AX,99.0
Female,Millennials,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,100416,,AD,6.0
Male,Gen X,Career Growth,Junior,Bengaluru,Above 35,36 T0 40,100421,,AD,102.0
Female,Millennials,Salary Hike,Junior,Bengaluru,31 to 35,31 To 35,101224,,BO,55.0
Male,Millennials,Salary Hike,Junior,Bengaluru,31 to 35,31 To 35,100599,,AI,36.0
Female,Millennials,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100667,,AI,80.0
Female,Millennials,Health Issues,Junior,Bengaluru,Below 30,26 To 30,101413,,AR,56.0
Male,Millennials,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101413,,AR,65.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100431,,AD,48.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100605,,AI,36.0
Male,Millennials,Marriage,Junior,Bengaluru,Below 30,26 To 30,100620,,AI,46.0
Male,Millennials,Miscellaneous,Junior,Bengaluru,31 to 35,26 To 30,101435,,AR,8.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101494,,BF,8.0
